Title,ProductId,Release,Price,In stock,Publisher,Created,Runtime,Spoken Languages,SubTitle Languages,ImageURL,Promotion,OrderType
Mushibugyo Blu-ray,Mushibugyo-Blu-ray,2022-04-26,45.49,False,SENTAI FILMWORKS,2013,650,['Japanese'],['English'],https://www.rightstufanime.com/images/productImages/816726021355_anime-mushibugyo-blu-ray-primary.jpg,,
Stella Womens Academy High School Division C3 Blu-ray,Stella-Womens-Academy-High-School-Division-C3-Blu-ray,2022-04-19,32.49,False,SENTAI FILMWORKS,2013,325,['Japanese'],['English'],https://www.rightstufanime.com/images/productImages/816726020853_anime-stella-womens-academy-high-school-division-c3-blu-ray-primary.jpg,,
Needless Blu-ray,Needless-Blu-ray,2022-04-19,51.99,False,SENTAI FILMWORKS,2009,600,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726021058_anime-needless-blu-ray-primary.jpg,,
Food Wars! The Fifth Plate Blu-ray,Food-Wars-The-Fifth-Plate-Blu-ray,2022-04-12,45.49,False,SENTAI FILMWORKS,2020,325,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726022451_anime-food-wars-the-fifth-plate-blu-ray-primary.jpg,,
Drifting Dragons Blu-ray,Drifting-Dragons-Blu-ray,2022-04-12,45.49,False,SENTAI FILMWORKS,2020,300,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726021553_anime-drifting-dragons-blu-ray-primary.jpg,,
TSUKIPRO the Animation Season 1 Blu-ray,TSUKIPRO-the-Animation-Blu-ray,2022-04-05,38.99,False,SENTAI FILMWORKS,2017,,['Japanese'],['English'],https://www.rightstufanime.com/images/productImages/816726020952_anime-tsukipro-the-animation-season-1-blu-ray-primary.jpg,,
My Mental Choices are Completely Interfering with My School Romantic Comedy Blu-ray,My-Mental-Choices-are-Completely-Interfering-with-My-School-Romantic-Comedy-Blu-ray,2022-04-05,32.49,False,SENTAI FILMWORKS,2013,275,['Japanese'],['English'],https://www.rightstufanime.com/images/productImages/816726029245_anime-my-mental-choices-are-completely-interfering-with-my-school-romantic-comedy-blu-ray-primary.jpg,,
LBX Girls Blu-ray,LBX-Girls-Blu-ray,2022-04-19,48.74,False,FUNIMATION,2021,300,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/704400106088_anime-lbx-girls-blu-ray-primary.jpg,,
Sorcerous Stabber Orphen Battle of Kimluck Season 2 Blu-ray,Sorcerous-Stabber-Orphen-Battle-of-Kimluck-Season-2-Blu-ray,2022-04-26,48.74,False,FUNIMATION,2020,275,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/704400105807_anime-sorcerous-staber-orphen-battle-of-kimluck-primary.jpg,,
Gekidol Blu-ray,Gekidol-Blu-ray,2022-04-19,48.74,False,FUNIMATION,2021,325,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/704400106002_anime-gekidol-blu-ray-primary.jpg,,
