Title,ProductId,Release,Price,In stock,Publisher,Created,Runtime,Spoken Languages,SubTitle Languages,ImageURL,Promotion,OrderType
Phantom of the Idol Blu-ray,Phantom-of-the-Idol-Blu-ray,2023-10-31,52.49,False,SENTAI FILMWORKS,2022,250,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726029351_anime-phantom-of-the-idol-blu-ray-primary.jpg,,
Blade & Soul Blu-ray,Blade-and-Soul-Blu-ray,2023-10-24,37.49,False,SENTAI FILMWORKS,2014,325,['Japanese'],['English'],,,
Chihayafuru Season 3 Premium Edition Box Set Blu-ray,Chihayafuru-Season-3-Premium-Edition-Box-Set-Blu-ray,2023-10-17,134.99,False,SENTAI FILMWORKS,2019,600,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726021157_anime-chihayafuru-season-3-premium-edition-box-set-blu-ray-primary.jpg,,
Love Chunibyo & Other Delusions Ultimate Collection Blu-ray,Love-Chunibyo-Other-Delusions-Ultimate-Collection-Blu-ray-2023,2023-10-10,74.99,False,SENTAI FILMWORKS,2012,840,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726029559_anime-love-chunibyo-and-other-delusions-ultimate-collection-blu-ray-2023-primary.jpg,,
The Eminence in Shadow Season 1 Blu-ray,The-Eminence-in-Shadow-Season-1-Blu-ray,2023-10-10,67.49,False,SENTAI FILMWORKS,2022,500,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726020761_anime-the-eminence-in-shadow-season-1-blu-ray-primary.jpg,,
Immoral Guild Blu-ray,Immoral-Guild-Blu-ray,2023-10-03,44.99,False,SENTAI FILMWORKS,2022,300,['Japanese'],['English'],https://www.rightstufanime.com/images/productImages/816726022062_anime-immoral-guild-blu-ray-primary.jpg,,
Lupin Zero Blu-ray,Lupin-Zero-Blu-ray,2023-09-26,29.99,False,SENTAI FILMWORKS,2022,150,['Japanese'],['English'],https://www.rightstufanime.com/images/productImages/816726021461_anime-lupin-zero-blu-ray-primary.jpg,,
Gatchaman Complete Collection Blu-ray,Gatchaman-Complete-Collection-Blu-ray,2023-09-26,112.49,False,SENTAI FILMWORKS,1972,2880,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726020464_anime-gatchaman-complete-collection-blu-ray-primary.jpg,,
Utano Princesama Maji LOVE STARISH TOURS Blu-ray,Utano-Princesama-Maji-LOVE-STARISH-TOURS-Blu-ray,2023-09-19,22.49,False,SENTAI FILMWORKS,2022,110,['Japanese'],['English'],,,
Girls und Panzer TV + OVAs Collection Blu-ray,Girls-und-Panzer-TV-plus-OVAs-Collection-Blu-ray,2023-09-19,52.49,False,SENTAI FILMWORKS,2012,374,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726022666_anime-girls-und-panzer-tv-ovas-collection-blu-ray-primary.jpg,,
Call of the Night Blu-ray,Call-of-the-Night-Blu-ray,2023-09-05,52.49,False,SENTAI FILMWORKS,2022,325,"['English', 'Japanese']",['English'],,,
Engage Kiss Blu-ray,Engage-Kiss-Blu-ray,2023-08-22,111.98,False,ANIPLEX OF AMERICA,2022,312,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816546028848_anime-engage-kiss-blu-ray-primary.jpg,,
